,City,State,Zip,Phone,latitude,longitude,Center_Name,Street_address
0,Harlingen,TX,78550,956-707-1513,26.1668629,-97.6785117,CenterWell Harlingen,801 N Ed Carey Drive 
1,Dallas,TX,75237,469-595-0297,32.6629624,-96.87305699999999,CenterWell Redbird,3209 W Camp Wisdom Road 
2,Houston,TX,77076,346-708-6254,29.87119899999999,-95.4040177,CenterWell Little York,388 West Little York Road 
3,Houston,TX,77077,346-570-1579,29.73777939999999,-95.5909202,CenterWell Westside,11978 Westheimer Road
4,Houston,TX,77087,832-536-9678,29.696793,-95.297155,CenterWell Gulfgate,545 Gulfgate Center Mall 
5,Brownsville,TX,78520,956-539-7318,25.9255135,-97.5110322,CenterWell Brownsville,1454 Central Blvd 
6,Houston,TX,77074,713-766-5826,29.6855314,-95.5290961,CenterWell Sharpstown,8708 S Gessner Drive
7,Houston,TX,77011,832-667-4150,29.7416961,-95.32422,CenterWell Downtown East,5104 Harrisburg Boulevard
8,Humble,TX,77338,281-519-3316,30.0048498,-95.27696189999999,CenterWell Humble,9688 FM 1960 Bypass Road West 
9,Houston,TX,77013,832-209-7556,29.774295,-95.232158,CenterWell Jacinto City,1910 John Ralston Road
10,Garland,TX,75041,469-956-5978,32.8639427,-96.6440128,CenterWell South Garland,1205 Northwest Hwy. 
11,Edinburg,TX,78539,956-300-2069,26.2678849,-98.17230359999999,CenterWell Edinburg,3601 S Business Hwy 281 
12,McAllen,TX,78501,956-300-2824,26.1995503,-98.20636999999999,CenterWell McAllen,1201 E Business Hwy 83 
13,Pasadena,TX,77504,713-929-2764,29.6659689,-95.1847066,CenterWell Pasadena,3915 Spencer Highway 
14,Houston,TX,77045,713-804-2562,29.612151,-95.44550679999999,CenterWell Hiram Clarke,4435 West Fuqua Street 
15,Arthur,TX,77640,409-407-4783,29.9430579,-93.9914086,CenterWell Port Arthur,8555 Memorial Boulevard
16,Hills,TX,76180,682-334-8669,32.825416,-97.22672,CenterWell North Richland Hills,7245 Blvd 26 
17,Prairie,TX,75051,945-215-5463,32.709082,-97.014837,CenterWell Grand Prairie,725 W. Pioneer Parkway 
18,Pantego,TX,76013,682-310-5752,32.708122,-97.14965219999999,CenterWell Arlington,2562 W. Pioneer Pkwy 
19,Houston,TX,77028,713-597-5882,29.8489147,-95.2650463,CenterWell Tidwell,9417 Mesa Drive
20,Baytown,TX,77521,832-209-7772,29.7964516,-94.98280779999999,CenterWell Baytown,6515 Garth Road
21,Worth,TX,76115,682-243-7339,32.684949,-97.322102,CenterWell Seminary,4200 South Fwy
22,Conroe,TX,77304,936-209-7348,30.27848729999999,-95.4661905,CenterWell Conroe,381 S Loop 336 W
23,Houston,TX,77051,713-597-3870,29.6517014,-95.3549895,CenterWell Sunnyside,9609 Cullen Boulevard 
24,Beaumont,TX,77708,409-245-5872,30.128009,-94.1552554,CenterWell Beaumont,4886 Dowlen Road 
25,Richardson,TX,75081,972-787-0977,32.9325921,-96.7024125,CenterWell Richardson,1332 S. Plano Rd.
26,Dallas,TX,75220,469-652-8895,32.861132,-96.8572112,CenterWell NW Dallas,3701 W. Northwest Hwy.
27,Houston,TX,77004,832-621-3760,29.7344964,-95.36475949999999,CenterWell Emancipation,3131 Emancipation Avenue
28,Worth,TX,76116,682-615-6580,32.7251038,-97.4767827,CenterWell Camp Bowie West,9108 Camp Bowie West 
29,Dallas,TX,75228,469-217-4390,32.8062269,-96.6808159,CenterWell North Buckner,3312 N Buckner Blvd
30,Orlando,FL,32818,407-439-2917,28.5539802,-81.4879445,CenterWell West Orange,7649 West Colonial Drive
31,Villages,FL,32159,407-807-6673,28.9495554,-81.9556303,CenterWell The Villages,1400 US Highway-441 N
32,Orlando,FL,32807,407-543-1016,28.5340286,-81.3100719,CenterWell Engelwood Park,737 South Semoran Boulevard 
33,Kissimmee,FL,34741,407-410-4376,28.3065565,-81.4353874,CenterWell West Vine,3185 West Vine Street 
34,Kissimmee,FL,34759,407-606-8502,28.145974,-81.445425,CenterWell Poinciana,1050 Cypress Parkway 
35,Kissimmee,FL,34744,407-250-1292,28.3191257,-81.33899819999999,CenterWell BVL,2577 Simpson Road 
36,Leesburg,FL,34748,407-584-1269,28.82342319999999,-81.8887135,CenterWell Leesburg,941 N 14th St. 
37,Orlando,FL,32825,407-410-4396,28.539958,-81.227493,CenterWell Lake Underhill,10829 Dylan Loren Circle 
